admin0_code,admin1_code,date,cases,deaths
US,53,2020-01-21,1,0
US,53,2020-01-22,1,0
US,53,2020-01-23,1,0
US,17,2020-01-24,1,0
US,53,2020-01-24,1,0
US,06,2020-01-25,1,0
US,17,2020-01-25,1,0
US,53,2020-01-25,1,0
US,04,2020-01-26,1,0
US,06,2020-01-26,2,0
US,17,2020-01-26,1,0
US,53,2020-01-26,1,0
US,04,2020-01-27,1,0
US,06,2020-01-27,2,0
US,17,2020-01-27,1,0
US,53,2020-01-27,1,0
US,04,2020-01-28,1,0
US,06,2020-01-28,2,0
US,17,2020-01-28,1,0
US,53,2020-01-28,1,0
US,04,2020-01-29,1,0
US,06,2020-01-29,2,0
US,17,2020-01-29,1,0
US,53,2020-01-29,1,0
US,04,2020-01-30,1,0
US,06,2020-01-30,2,0
US,17,2020-01-30,2,0
US,53,2020-01-30,1,0
US,04,2020-01-31,1,0
US,06,2020-01-31,3,0
US,17,2020-01-31,2,0
US,53,2020-01-31,1,0
US,04,2020-02-01,1,0
US,06,2020-02-01,3,0
US,17,2020-02-01,2,0
US,25,2020-02-01,1,0
US,53,2020-02-01,1,0
US,04,2020-02-02,1,0
US,06,2020-02-02,6,0
US,17,2020-02-02,2,0
US,25,2020-02-02,1,0
US,53,2020-02-02,1,0
US,04,2020-02-03,1,0
US,06,2020-02-03,6,0
US,17,2020-02-03,2,0
US,25,2020-02-03,1,0
US,53,2020-02-03,1,0
US,04,2020-02-04,1,0
US,06,2020-02-04,6,0
US,17,2020-02-04,2,0
US,25,2020-02-04,1,0
US,53,2020-02-04,1,0
US,04,2020-02-05,1,0
US,06,2020-02-05,6,0
US,17,2020-02-05,2,0
US,25,2020-02-05,1,0
US,53,2020-02-05,1,0
US,55,2020-02-05,1,0
US,04,2020-02-06,1,0
US,06,2020-02-06,6,0
US,17,2020-02-06,2,0
US,25,2020-02-06,1,0
US,53,2020-02-06,1,0
US,55,2020-02-06,1,0
US,04,2020-02-07,1,0
US,06,2020-02-07,6,0
US,17,2020-02-07,2,0
US,25,2020-02-07,1,0
US,53,2020-02-07,1,0
US,55,2020-02-07,1,0
US,04,2020-02-08,1,0
US,06,2020-02-08,6,0
US,17,2020-02-08,2,0
US,25,2020-02-08,1,0
US,53,2020-02-08,1,0
US,55,2020-02-08,1,0
US,04,2020-02-09,1,0
US,06,2020-02-09,6,0
US,17,2020-02-09,2,0
US,25,2020-02-09,1,0
US,53,2020-02-09,1,0
US,55,2020-02-09,1,0
US,04,2020-02-10,1,0
US,06,2020-02-10,7,0
US,17,2020-02-10,2,0
US,25,2020-02-10,1,0
US,53,2020-02-10,1,0
US,55,2020-02-10,1,0
US,04,2020-02-11,1,0
US,06,2020-02-11,7,0
US,17,2020-02-11,2,0
US,25,2020-02-11,1,0
US,53,2020-02-11,1,0
US,55,2020-02-11,1,0
US,04,2020-02-12,1,0
US,06,2020-02-12,7,0
US,17,2020-02-12,2,0
US,25,2020-02-12,1,0
