admin0_code,admin1_code,admin2_code,date,cases,deaths
US,53,53061,2020-01-21,1,0
US,53,53061,2020-01-22,1,0
US,53,53061,2020-01-23,1,0
US,17,17031,2020-01-24,1,0
US,53,53061,2020-01-24,1,0
US,06,06059,2020-01-25,1,0
US,17,17031,2020-01-25,1,0
US,53,53061,2020-01-25,1,0
US,04,04013,2020-01-26,1,0
US,06,06037,2020-01-26,1,0
US,06,06059,2020-01-26,1,0
US,17,17031,2020-01-26,1,0
US,53,53061,2020-01-26,1,0
US,04,04013,2020-01-27,1,0
US,06,06037,2020-01-27,1,0
US,06,06059,2020-01-27,1,0
US,17,17031,2020-01-27,1,0
US,53,53061,2020-01-27,1,0
US,04,04013,2020-01-28,1,0
US,06,06037,2020-01-28,1,0
US,06,06059,2020-01-28,1,0
US,17,17031,2020-01-28,1,0
US,53,53061,2020-01-28,1,0
US,04,04013,2020-01-29,1,0
US,06,06037,2020-01-29,1,0
US,06,06059,2020-01-29,1,0
US,17,17031,2020-01-29,1,0
US,53,53061,2020-01-29,1,0
US,04,04013,2020-01-30,1,0
US,06,06037,2020-01-30,1,0
US,06,06059,2020-01-30,1,0
US,17,17031,2020-01-30,2,0
US,53,53061,2020-01-30,1,0
US,04,04013,2020-01-31,1,0
US,06,06037,2020-01-31,1,0
US,06,06059,2020-01-31,1,0
US,06,06085,2020-01-31,1,0
US,17,17031,2020-01-31,2,0
US,53,53061,2020-01-31,1,0
US,04,04013,2020-02-01,1,0
US,06,06037,2020-02-01,1,0
US,06,06059,2020-02-01,1,0
US,06,06085,2020-02-01,1,0
US,17,17031,2020-02-01,2,0
US,25,25025,2020-02-01,1,0
US,53,53061,2020-02-01,1,0
US,04,04013,2020-02-02,1,0
US,06,06037,2020-02-02,1,0
US,06,06059,2020-02-02,1,0
US,06,06075,2020-02-02,2,0
US,06,06085,2020-02-02,2,0
US,17,17031,2020-02-02,2,0
US,25,25025,2020-02-02,1,0
US,53,53061,2020-02-02,1,0
US,04,04013,2020-02-03,1,0
US,06,06037,2020-02-03,1,0
US,06,06059,2020-02-03,1,0
US,06,06075,2020-02-03,2,0
US,06,06085,2020-02-03,2,0
US,17,17031,2020-02-03,2,0
US,25,25025,2020-02-03,1,0
US,53,53061,2020-02-03,1,0
US,04,04013,2020-02-04,1,0
US,06,06037,2020-02-04,1,0
US,06,06059,2020-02-04,1,0
US,06,06075,2020-02-04,2,0
US,06,06085,2020-02-04,2,0
US,17,17031,2020-02-04,2,0
US,25,25025,2020-02-04,1,0
US,53,53061,2020-02-04,1,0
US,04,04013,2020-02-05,1,0
US,06,06037,2020-02-05,1,0
US,06,06059,2020-02-05,1,0
US,06,06075,2020-02-05,2,0
US,06,06085,2020-02-05,2,0
US,17,17031,2020-02-05,2,0
US,25,25025,2020-02-05,1,0
US,53,53061,2020-02-05,1,0
US,55,55025,2020-02-05,1,0
US,04,04013,2020-02-06,1,0
US,06,06037,2020-02-06,1,0
US,06,06059,2020-02-06,1,0
US,06,06075,2020-02-06,2,0
US,06,06085,2020-02-06,2,0
US,17,17031,2020-02-06,2,0
US,25,25025,2020-02-06,1,0
US,53,53061,2020-02-06,1,0
US,55,55025,2020-02-06,1,0
US,04,04013,2020-02-07,1,0
US,06,06037,2020-02-07,1,0
US,06,06059,2020-02-07,1,0
US,06,06075,2020-02-07,2,0
US,06,06085,2020-02-07,2,0
US,17,17031,2020-02-07,2,0
US,25,25025,2020-02-07,1,0
US,53,53061,2020-02-07,1,0
US,55,55025,2020-02-07,1,0
US,04,04013,2020-02-08,1,0
US,06,06037,2020-02-08,1,0
US,06,06059,2020-02-08,1,0
US,06,06075,2020-02-08,2,0
US,06,06085,2020-02-08,2,0
US,17,17031,2020-02-08,2,0
US,25,25025,2020-02-08,1,0
US,53,53061,2020-02-08,1,0
US,55,55025,2020-02-08,1,0
US,04,04013,2020-02-09,1,0
US,06,06037,2020-02-09,1,0
US,06,06059,2020-02-09,1,0
US,06,06075,2020-02-09,2,0
US,06,06085,2020-02-09,2,0
US,17,17031,2020-02-09,2,0
US,25,25025,2020-02-09,1,0
US,53,53061,2020-02-09,1,0
US,55,55025,2020-02-09,1,0
US,04,04013,2020-02-10,1,0
US,06,06037,2020-02-10,1,0
US,06,06059,2020-02-10,1,0
US,06,06073,2020-02-10,1,0
US,06,06075,2020-02-10,2,0
US,06,06085,2020-02-10,2,0
US,17,17031,2020-02-10,2,0
US,25,25025,2020-02-10,1,0
US,53,53061,2020-02-10,1,0
US,55,55025,2020-02-10,1,0
US,04,04013,2020-02-11,1,0
US,06,06037,2020-02-11,1,0
US,06,06059,2020-02-11,1,0
US,06,06073,2020-02-11,1,0
US,06,06075,2020-02-11,2,0
US,06,06085,2020-02-11,2,0
US,17,17031,2020-02-11,2,0
US,25,25025,2020-02-11,1,0
US,53,53061,2020-02-11,1,0
US,55,55025,2020-02-11,1,0
US,04,04013,2020-02-12,1,0
US,06,06037,2020-02-12,1,0
US,06,06059,2020-02-12,1,0
US,06,06073,2020-02-12,1,0
US,06,06075,2020-02-12,2,0
US,06,06085,2020-02-12,2,0
US,17,17031,2020-02-12,2,0
US,25,25025,2020-02-12,1,0
US,48,48029,2020-02-12,1,0
US,53,53061,2020-02-12,1,0
US,55,55025,2020-02-12,1,0
US,04,04013,2020-02-13,1,0
US,06,06037,2020-02-13,1,0
US,06,06059,2020-02-13,1,0
US,06,06073,2020-02-13,1,0
US,06,06075,2020-02-13,2,0
US,06,06085,2020-02-13,2,0
US,17,17031,2020-02-13,2,0
US,25,25025,2020-02-13,1,0
US,48,48029,2020-02-13,2,0
US,53,53061,2020-02-13,1,0
US,55,55025,2020-02-13,1,0
US,04,04013,2020-02-14,1,0
US,06,06037,2020-02-14,1,0
US,06,06059,2020-02-14,1,0
US,06,06073,2020-02-14,1,0
US,06,06075,2020-02-14,2,0
US,06,06085,2020-02-14,2,0
US,17,17031,2020-02-14,2,0
US,25,25025,2020-02-14,1,0
US,48,48029,2020-02-14,2,0
US,53,53061,2020-02-14,1,0
US,55,55025,2020-02-14,1,0
US,04,04013,2020-02-15,1,0
US,06,06037,2020-02-15,1,0
US,06,06059,2020-02-15,1,0
US,06,06073,2020-02-15,1,0
US,06,06075,2020-02-15,2,0
US,06,06085,2020-02-15,2,0
US,17,17031,2020-02-15,2,0
US,25,25025,2020-02-15,1,0
US,48,48029,2020-02-15,2,0
US,53,53061,2020-02-15,1,0
US,55,55025,2020-02-15,1,0
US,04,04013,2020-02-16,1,0
US,06,06037,2020-02-16,1,0
US,06,06059,2020-02-16,1,0
US,06,06073,2020-02-16,1,0
US,06,06075,2020-02-16,2,0
US,06,06085,2020-02-16,2,0
US,17,17031,2020-02-16,2,0
US,25,25025,2020-02-16,1,0
US,48,48029,2020-02-16,2,0
US,53,53061,2020-02-16,1,0
US,55,55025,2020-02-16,1,0
US,04,04013,2020-02-17,1,0
US,06,06037,2020-02-17,1,0
US,06,06059,2020-02-17,1,0
US,06,06073,2020-02-17,1,0
US,06,06075,2020-02-17,2,0
US,06,06085,2020-02-17,2,0
US,17,17031,2020-02-17,2,0
US,25,25025,2020-02-17,1,0
US,31,31055,2020-02-17,10,0
US,48,48029,2020-02-17,2,0
US,53,53061,2020-02-17,1,0
US,55,55025,2020-02-17,1,0
US,04,04013,2020-02-18,1,0
US,06,06037,2020-02-18,1,0
US,06,06059,2020-02-18,1,0
US,06,06073,2020-02-18,1,0
US,06,06075,2020-02-18,2,0
US,06,06085,2020-02-18,2,0
US,17,17031,2020-02-18,2,0
US,25,25025,2020-02-18,1,0
US,31,31055,2020-02-18,10,0
US,48,48029,2020-02-18,2,0
US,53,53061,2020-02-18,1,0
US,55,55025,2020-02-18,1,0
US,04,04013,2020-02-19,1,0
US,06,06037,2020-02-19,1,0
US,06,06059,2020-02-19,1,0
US,06,06073,2020-02-19,1,0
US,06,06075,2020-02-19,2,0
US,06,06085,2020-02-19,2,0
US,17,17031,2020-02-19,2,0
US,25,25025,2020-02-19,1,0
US,31,31055,2020-02-19,10,0
US,48,48029,2020-02-19,2,0
